Model,Accuracy,F1-Macro,Precision-Macro,Recall-Macro,Top-2-Acc,Top-3-Acc
vgg16,1.0,0.5,0.5,0.5,1.0,1.0
vit_b_16,1.0,0.5,0.5,0.5,1.0,1.0
efficientnet_b0,0.875,0.4523809523809524,0.4583333333333333,0.4583333333333333,1.0,1.0
resnet50,0.75,0.40277777777777773,0.43333333333333335,0.4166666666666667,1.0,1.0
mobilenet_v2,0.75,0.3833333333333333,0.4444444444444444,0.38888888888888884,1.0,1.0
